BURNUP,TF,TM,BOR,GROUP,ABSORPTION,CAPTURE,FISSION,NU-FISSION,TRANSPORT,OUT-SCATTER,DIFF(1/3TR),assembly
9,1019.3,557,600,1,0.00988049,0.00784671,0.00203378,0.00535434,0.237154,0.0171829,1.40556,1
9,1019.3,557,600,2,0.090532,0.0427834,0.0477487,0.123628,0.935589,0.00177715,0.356282,1
10,1019.3,557,600,1,0.00996875,0.00796034,0.00200841,0.00530103,0.237133,0.0171399,1.40568,1
10,1019.3,557,600,2,0.0909936,0.0434439,0.0475497,0.12365,0.936763,0.00178306,0.355835,1
11,1019.3,557,600,1,0.0100527,0.00806881,0.00198388,0.00524933,0.237111,0.0171001,1.40581,1
11,1019.3,557,600,2,0.0913757,0.0440598,0.047316,0.12355,0.93783,0.00178757,0.35543,1
12.5,1019.3,557,600,1,0.0101704,0.00822177,0.00194861,0.00517478,0.237077,0.0170464,1.40601,1
12.5,1019.3,557,600,2,0.0918157,0.0449063,0.0469094,0.123203,0.939247,0.00179201,0.354894,1
15,1019.3,557,600,1,0.0103487,0.00845511,0.00189357,0.00505793,0.237018,0.01697,1.40637,1
15,1019.3,557,600,2,0.0922759,0.0461504,0.0461255,0.122223,0.941219,0.0017947,0.354151,1
17.5,1019.3,557,600,1,0.0105117,0.00867054,0.00184117,0.00494537,0.236958,0.0169054,1.40672,1
17.5,1019.3,557,600,2,0.0924854,0.0472346,0.0452508,0.120873,0.942849,0.00179288,0.353539,1
20,1019.3,557,600,1,0.0106603,0.00886874,0.00179161,0.00483773,0.236897,0.0168515,1.40708,1
20,1019.3,557,600,2,0.092496,0.0481798,0.0443162,0.11925,0.94419,0.00178761,0.353036,1
22.5,1019.3,557,600,1,0.0107984,0.00905305,0.0017454,0.00473657,0.236834,0.0168049,1.40745,1
22.5,1019.3,557,600,2,0.0923607,0.04901,0.0433507,0.117443,0.945303,0.00177984,0.352621,1
25,1019.3,557,600,1,0.0109281,0.00922558,0.00170249,0.00464193,0.236768,0.0167638,1.40785,1
25,1019.3,557,600,2,0.0921225,0.0497448,0.0423777,0.115527,0.946231,0.00177037,0.352275,1
27.5,1019.3,557,600,1,0.0110508,0.0093878,0.00166304,0.00455439,0.236698,0.0167265,1.40826,1
27.5,1019.3,557,600,2,0.0918163,0.0503998,0.0414165,0.113562,0.947007,0.00175982,0.351986,1
30,1019.3,557,600,1,0.0111671,0.00954055,0.00162656,0.00447291,0.236624,0.0166925,1.4087,1
30,1019.3,557,600,2,0.0914703,0.0509877,0.0404826,0.1116,0.947659,0.00174873,0.351744,1
32.5,1019.3,557,600,1,0.0112768,0.00968399,0.00159277,0.00439697,0.236546,0.0166614,1.40917,1
